antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
loan_type=Conventional,ethnicity=Not Hispanic or Latino,0.8488224891525981,0.7908118398546593,0.6850822856369768,0.8070972369274907,1.0205932641016406,1.0,0.01382341128019915,1.0844228294786527,0.13347050423399612,0.7177002976371256,0.07785047232843649,0.8366998758873101
ethnicity=Not Hispanic or Latino,loan_type=Conventional,0.7908118398546593,0.8488224891525981,0.6850822856369768,0.8663025148471295,1.0205932641016406,1.0,0.01382341128019915,1.1307431151344745,0.09645736444942186,0.7177002976371256,0.11562583347582511,0.8366998758873101
"loan_type=Conventional, occupancy=PrimaryRes",ethnicity=Not Hispanic or Latino,0.8023791807191658,0.7908118398546593,0.6468337182671215,0.8061446929460082,1.0193887500396641,1.0,0.012302762101523812,1.0790943169127605,0.09624480122762621,0.6834984172368019,0.07329694510767665,0.8120405015185842
"ethnicity=Not Hispanic or Latino, occupancy=PrimaryRes",loan_type=Conventional,0.7525149544360801,0.8488224891525981,0.6468337182671215,0.8595626099574939,1.0126529644797913,1.0,0.008082101518134155,1.0764762204826301,0.05048736313884473,0.6776649489232888,0.07104311180078152,0.8107995546912827
loan_type=Conventional,"ethnicity=Not Hispanic or Latino, occupancy=PrimaryRes",0.8488224891525981,0.7525149544360801,0.6468337182671215,0.7620364994250715,1.0126529644797913,1.0,0.008082101518134155,1.0400126278441315,0.08265030490832354,0.6776649489232888,0.03847321347152742,0.8107995546912827
ethnicity=Not Hispanic or Latino,"loan_type=Conventional, occupancy=PrimaryRes",0.7908118398546593,0.8023791807191658,0.6468337182671215,0.8179363100911602,1.0193887500396641,1.0,0.012302762101523812,1.0854488304602852,0.09092281540652085,0.6834984172368019,0.07872211758158193,0.8120405015185842
sex=Male,race=White,0.38614818179182653,0.7131647355553193,0.27604101235975687,0.7148577291724016,1.0023739166179664,1.0,0.0006537464070215382,1.00593736457302,0.003858088245542471,0.3352975009683894,0.005902320345303352,0.5509612972749907
"ethnicity=Not Hispanic or Latino, sex=Male",loan_type=Conventional,0.29788077038296884,0.8488224891525981,0.25722596418666227,0.8635198702351987,1.0173150231885038,1.0,0.0043780671994971265,1.107688797687465,0.02424134720137525,0.2891877797575073,0.09721936153212725,0.583279226532379
"ethnicity=Not Hispanic or Latino, occupancy=PrimaryRes, sex=Male",loan_type=Conventional,0.27897874972217124,0.8488224891525981,0.23833360713560944,0.8543073885482697,1.006461774358909,1.0,0.0015301703757563678,1.037647066251461,0.008904436456845126,0.26795084905967864,0.03628118603704283,0.567544418001038
"loan_type=Conventional, outcome=originated, sex=Male",ethnicity=Not Hispanic or Latino,0.23648785767435568,0.7908118398546593,0.19015084894811607,0.8040617848970252,1.0167548642731512,1.0,0.003133451117372038,1.0676230771797242,0.021582845762285766,0.22714102667697883,0.06333984214575059,0.5222559822644814
